file_name,abs_path,fs,rpm,label_str,label_bin,fault_size,fault_loc,channel,channels
B007_0.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\B\0007\B007_0.mat,12000,1796,B,1,7,,DE,['DE']
B007_1.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\B\0007\B007_1.mat,12000,1772,B,1,7,,DE,['DE']
B007_2.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\B\0007\B007_2.mat,12000,1748,B,1,7,,DE,['DE']
B007_3.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\B\0007\B007_3.mat,12000,1722,B,1,7,,DE,['DE']
B014_0.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\B\0014\B014_0.mat,12000,1796,B,1,14,,DE,['DE']
B014_1.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\B\0014\B014_1.mat,12000,1772,B,1,14,,DE,['DE']
B014_2.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\B\0014\B014_2.mat,12000,1749,B,1,14,,DE,['DE']
B014_3.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\B\0014\B014_3.mat,12000,1724,B,1,14,,DE,['DE']
B021_0.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\B\0021\B021_0.mat,12000,1796,B,1,21,,DE,['DE']
B021_1.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\B\0021\B021_1.mat,12000,1774,B,1,21,,DE,['DE']
B021_2.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\B\0021\B021_2.mat,12000,1754,B,1,21,,DE,['DE']
B021_3.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\B\0021\B021_3.mat,12000,1729,B,1,21,,DE,['DE']
B028_0_(1797rpm).mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\B\0028\B028_0_(1797rpm).mat,12000,1797,B,1,28,,DE,['DE']
B028_1_(1772rpm).mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\B\0028\B028_1_(1772rpm).mat,12000,1772,B,1,28,,DE,['DE']
B028_2_(1750rpm).mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\B\0028\B028_2_(1750rpm).mat,12000,1750,B,1,28,,DE,['DE']
B028_3_(1730rpm).mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\B\0028\B028_3_(1730rpm).mat,12000,1730,B,1,28,,DE,['DE']
IR007_0.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\IR\0007\IR007_0.mat,12000,1797,IR,1,7,,DE,['DE']
IR007_1.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\IR\0007\IR007_1.mat,12000,1772,IR,1,7,,DE,['DE']
IR007_2.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\IR\0007\IR007_2.mat,12000,1748,IR,1,7,,DE,['DE']
IR007_3.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\IR\0007\IR007_3.mat,12000,1721,IR,1,7,,DE,['DE']
IR014_0.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\IR\0014\IR014_0.mat,12000,1796,IR,1,14,,DE,['DE']
IR014_1.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\IR\0014\IR014_1.mat,12000,1774,IR,1,14,,DE,['DE']
IR014_2.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\IR\0014\IR014_2.mat,12000,1752,IR,1,14,,DE,['DE']
IR014_3.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\IR\0014\IR014_3.mat,12000,1728,IR,1,14,,DE,['DE']
IR021_0.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\IR\0021\IR021_0.mat,12000,1797,IR,1,21,,DE,['DE']
IR021_1.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\IR\0021\IR021_1.mat,12000,1774,IR,1,21,,DE,['DE']
IR021_2.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\IR\0021\IR021_2.mat,12000,1752,IR,1,21,,DE,['DE']
IR021_3.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\IR\0021\IR021_3.mat,12000,1728,IR,1,21,,DE,['DE']
IR028_0_(1797rpm).mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\IR\0028\IR028_0_(1797rpm).mat,12000,1797,IR,1,28,,DE,['DE']
IR028_1_(1772rpm).mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\IR\0028\IR028_1_(1772rpm).mat,12000,1772,IR,1,28,,DE,['DE']
IR028_2_(1750rpm).mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\IR\0028\IR028_2_(1750rpm).mat,12000,1750,IR,1,28,,DE,['DE']
IR028_3_(1730rpm).mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\IR\0028\IR028_3_(1730rpm).mat,12000,1730,IR,1,28,,DE,['DE']
OR007@6_0.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\OR\Centered\0007\OR007@6_0.mat,12000,1796,OR,1,7,6 o'clock,DE,['DE']
OR007@6_1.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\OR\Centered\0007\OR007@6_1.mat,12000,1773,OR,1,7,6 o'clock,DE,['DE']
OR007@6_2.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\OR\Centered\0007\OR007@6_2.mat,12000,1750,OR,1,7,6 o'clock,DE,['DE']
OR007@6_3.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\OR\Centered\0007\OR007@6_3.mat,12000,1725,OR,1,7,6 o'clock,DE,['DE']
OR014@6_0.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\OR\Centered\0014\OR014@6_0.mat,12000,1796,OR,1,14,6 o'clock,DE,['DE']
OR014@6_1.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\OR\Centered\0014\OR014@6_1.mat,12000,1772,OR,1,14,6 o'clock,DE,['DE']
OR014@6_2.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\OR\Centered\0014\OR014@6_2.mat,12000,1749,OR,1,14,6 o'clock,DE,['DE']
OR014@6_3.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\OR\Centered\0014\OR014@6_3.mat,12000,1723,OR,1,14,6 o'clock,DE,['DE']
OR021@6_0.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\OR\Centered\0021\OR021@6_0.mat,12000,1796,OR,1,21,6 o'clock,DE,['DE']
OR021@6_1.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\OR\Centered\0021\OR021@6_1.mat,12000,1771,OR,1,21,6 o'clock,DE,['DE']
OR021@6_2.mat,D:\aaamcm25\data_set\source_d_dataset\12kHz_DE_data\OR\Centered\0021\OR021@6_2.mat,12000,1748,OR,1,21,6 o'clock,DE,['DE']
